"특별법범 (건)",선박직원법,소계,4197,-,22,-,647,-,-,1,-,1,603,-,141,7,1987,347,280,161
"특별법범 (건)",성매매알선 등 행위의 처벌에 관한법률,소계,3343,750,421,237,199,102,39,7,6,1028,33,51,62,81,64,96,124,43
"특별법범 (건)",수도법,소계,105,7,9,11,1,-,4,-,1,37,6,6,5,7,1,3,7,-
"특별법범 (건)",수산업법,소계,3540,-,63,-,91,-,-,3,-,35,121,-,26,76,2175,720,187,43
"특별법범 (건)",수산자원관리법,소계,1796,-,34,-,1184,-,-,4,-,31,43,-,62,40,160,55,91,92
"특별법범 (건)",스토킹범죄의처벌등에관한법률,소계,12049,2590,679,542,877,277,370,122,67,3066,372,271,451,382,420,551,794,218
"특별법범 (건)",식품위생법,소계,5977,1294,1020,77,298,176,112,35,12,1291,145,147,273,195,132,142,566,62
"특별법범 (건)",신용정보의 이용 및 보호에 관한법률,소계,29,7,5,1,2,-,-,-,1,7,-,1,-,2,-,-,3,-
"특별법범 (건)",아동·청소년의 성보호에 관한법률(성매수등),소계,485,59,24,24,70,19,12,4,1,147,9,15,25,16,8,16,27,9
"특별법범 (건)",아동·청소년의 성보호에 관한법률(성착취물등),소계,1712,254,125,52,120,36,44,16,5,529,69,51,90,75,44,79,90,33
"특별법범 (건)",아동복지법,소계,13510,2372,671,679,881,244,436,184,105,4429,347,318,505,312,523,485,782,237
"특별법범 (건)",액화석유가스의 안전관리 및 사업법,소계,100,3,2,7,2,1,4,1,-,31,8,12,2,1,3,12,7,4
"특별법범 (건)",약사법,소계,869,250,78,38,33,23,25,12,3,188,22,60,27,23,11,26,42,8
"특별법범 (건)",여객자동차 운수 사업법,소계,533,45,90,7,18,7,10,4,2,133,4,6,162,7,5,4,15,14
"특별법범 (건)",여신전문 금융업법,소계,2268,345,318,99,92,63,95,15,36,509,63,71,109,67,57,94,211,24
"특별법범 (건)",영유아보육법,소계,108,6,5,1,8,-,-,-,-,54,2,10,4,3,2,4,9,-
"특별법범 (건)",예비군법,소계,3275,362,303,126,230,172,85,28,14,652,91,87,309,131,154,197,206,128
"특별법범 (건)",옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,소계,129,22,12,5,9,3,1,3,-,23,2,-,2,1,24,3,15,4
"특별법범 (건)",외국환거래법,소계,402,135,41,10,105,5,7,8,-,41,5,14,4,5,1,4,10,7
"특별법범 (건)",위험물 안전관리법,소계,484,15,28,31,39,12,1,11,1,167,8,22,43,36,14,26,25,5
"특별법범 (건)",유사수신행위의 규제에 관한법률,소계,926,316,103,71,60,49,31,8,3,103,6,34,28,39,15,9,43,8
"특별법범 (건)",의료기기법,소계,193,67,16,7,8,2,4,2,-,26,3,38,5,3,1,5,5,1
"특별법범 (건)",의료법,소계,2219,588,170,84,119,101,68,17,8,538,54,63,69,52,50,69,141,28
"특별법범 (건)",자동차관리법,소계,24205,6059,2703,948,1355,823,561,193,120,5736,553,739,718,835,469,911,1320,162
"특별법범 (건)",자동차 손해배상 보장법,소계,14961,1360,1142,560,665,501,281,265,84,3889,376,716,738,687,647,1447,1313,290
"특별법범 (건)",자본시장과 금융투자업에 관한법률,소계,664,433,19,6,35,5,11,3,-,78,24,8,6,10,7,7,10,2
"특별법범 (건)",저작권법,소계,18751,5005,1024,779,1085,411,473,155,243,5366,411,382,708,460,393,705,1036,115
"특별법범 (건)",전자금융거래법,소계,9249,1467,650,529,425,266,396,105,43,2607,234,276,290,360,333,601,503,164
"특별법범 (건)",전파법,소계,890,167,40,18,-,19,36,7,-,5,11,15,-,6,1,213,345,7
"특별법범 (건)",정보통신망이용촉진 및 정보보호 등에 관한법률,소계,18542,5498,1174,514,1618,417,442,93,72,5163,411,335,435,388,373,535,851,223
"특별법범 (건)",조세범처벌법,소계,2660,627,176,84,193,61,62,35,14,715,25,67,125,81,63,105,198,29
"특별법범 (건)",주민등록법,소계,1979,376,168,95,158,104,51,29,4,483,49,51,78,77,51,67,120,18
"특별법범 (건)",주차장법,소계,79,49,-,5,5,1,-,-,-,7,1,1,3,1,1,-,1,4
"특별법범 (건)",주택법,소계,450,45,69,11,25,16,14,3,20,142,22,16,12,16,7,9,20,3
"특별법범 (건)",중대재해처벌등에관한법률,소계,74,5,12,4,-,6,-,-,-,20,6,16,4,-,-,1,-,-
"특별법범 (건)",직업안정법,소계,1582,39,19,16,14,4,6,2,-,43,7,3,7,2,20,4,1395,1
"특별법범 (건)",집회 및 시위에 관한법률,소계,402,228,6,14,7,6,3,5,7,34,2,4,14,5,9,26,31,1
"특별법범 (건)",청소년보호법,소계,6892,1003,446,299,466,247,238,78,27,1607,277,230,309,315,256,382,575,137
"특별법범 (건)",총포·도검·화약류등의 안전관리에 관한법률,소계,452,105,45,23,38,6,3,-,3,89,21,12,13,13,7,17,39,18
"특별법범 (건)",최저임금법,소계,455,83,79,46,-,27,-,19,-,93,12,4,22,12,14,14,30,-
"특별법범 (건)",축산물 위생관리법,소계,341,30,17,50,20,12,11,3,2,87,7,15,7,10,7,28,31,4
"특별법범 (건)",출입국관리법,소계,1854,223,71,75,154,58,43,23,5,558,53,75,110,88,78,110,82,48
"특별법범 (건)",통신비밀 보호법,소계,317,89,11,14,23,4,11,5,2,62,17,5,17,15,9,12,14,7
"특별법범 (건)",특가법(도주차량),소계,8283,1059,470,398,853,438,260,70,44,2300,213,195,435,260,272,452,467,97
"특별법범 (건)",특허법,소계,149,19,6,1,2,2,32,1,1,26,2,-,3,1,1,1,4,47
"특별법범 (건)",폐기물관리법,소계,4993,56,95,70,69,22,39,34,10,3630,44,92,115,93,64,178,343,39
"특별법범 (건)",풍속영업의 규제에 관한법률,소계,98,37,7,2,4,-,-,-,-,36,1,-,3,-,6,-,2,-
"특별법범 (건)",하천법,소계,123,2,6,3,3,1,3,-,-,37,10,9,9,9,5,10,13,3
"특별법범 (건)",학교보건법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범 (건)",학원의 설립운영 및 과외교습에 관한법률,소계,242,60,21,9,11,2,2,5,1,70,6,6,12,4,4,7,20,2
"특별법범 (건)",화물자동차 운수 사업법,소계,1253,410,64,86,51,18,26,1,9,321,19,30,24,30,33,29,93,9
"특별법범 (건)",화재로 인한 재해보상과 보험가입에 관한법률,소계,9,-,1,1,1,-,-,-,-,-,-,3,1,-,-,-,2,-
"특별법범 (건)",화재의예방및안전에관한법률/소방시설설치및관리에관한법률,소계,854,125,25,44,59,48,11,8,7,256,30,20,48,24,26,36,57,30
"특별법범 (건)",화학물질관리법,소계,466,114,5,49,21,3,54,2,-,123,6,5,6,18,11,5,44,-
"특별법범 (건)",기타특별법,소계,63883,8062,5088,1557,5686,890,1123,2456,186,11627,2669,1447,5059,4397,5548,2790,4225,1073
